Business Name,Email,Map Location,Website,Number of Reviews,Star Rating
Dentaworkshawaii Dental,select2@4.1.0-rc.0,Honolulu HI,https://www.dentaworkshawaii.com/&amp;rut=c2aa41a61e4bfd2a606acc8a3fce972c85d5de0e6bdd12e5f1c4127838d7b9c9,278,4.5
Josfamilylaw Divorce,info@josfamilylaw.com,Santa Ana CA,https://josfamilylaw.com/santa-ana-divorce-attorney.php&amp;rut=58d0640104139c09b0641aa789d31f63e468c05463c9878082445b28fba83754,21,4.7
Makeawavecincy Physical,info@anchorcincy.com,Cincinnati OH,https://makeawavecincy.com/&amp;rut=391d725eef16fdb75d68c9a491a3dd22227931e6ca3ad6c33344002f33fb171d,398,4.7
Downtownhoustondentist Dental,info@downtownhoustondentist.com,Houston TX,https://www.downtownhoustondentist.com/&amp;rut=9210bc99aa5c8748a4b19a0be16337d6393bd83347942d93cfc2c612e5820d8f,100,4.4
Bakerandbakerpc Law,pbaker@lawbaker.com,Santa Ana CA,https://www.bakerandbakerpc.com/&amp;rut=16c3d14c129e3e2ed31831a95606e9c64763782aa81897e2605dff1c09ccaf21,356,4.5
Bwfa Financial,emailus@bwfa.com,Baltimore MD,https://bwfa.com/&amp;rut=3ff542f0e33726d26a4d5ea16fd2c1a60fe4fe549909c7a3f7261bfd0f5ae3e9,282,4.7
Hummertfinancial Financial,info@hummertfinancial.com,St. Louis MO,https://hummertfinancial.com/&amp;rut=2411bfa2e34bb56a00c656e2667cb9f5130f2be5d9fc9664ad0314c04a69b9fc,32,4.1
Klassencorp Architects,scrollreveal@4.0.5,Bakersfield CA,https://www.klassencorp.com/&amp;rut=4c4224455750c5e8f56032362fc094bd4a56bf8019077392fbaf668fa644f956,178,4.1
Thewellchiropracticclinic Chiropractor,info@thewellchiropracticclinic.com,Gilbert AZ,https://www.thewellchiropracticclinic.com/&amp;rut=760240d98ba8d40fcb5a2de2dcb5159e6fc3abbb402402aefc76b75a63a76a4b,200,4.0
Wealthoklahoma Financial,info@wealthoklahoma.com,Tulsa OK,https://wealthoklahoma.com/&amp;rut=88c9f76849151acf99029593d2ac4107e418a71fc0ce9a83c4cf77102efcc743,102,4.6
Dentalsmilesofnc Dental,info@dentalsmilesofnc.com,Raleigh NC,https://dentalsmilesofnc.com/&amp;rut=a7eacb2ee413a3762a2a5e6586562d1952b0c9292554f8d3dd20845eb35812cf,267,4.4
Mncpa CPA,customerservice@mncpa.org,Minneapolis WI,https://www.mncpa.org/find-a-cpa/directories/cpa-yellow-pages/?c=Minneapolis&amp;rut=a7289dea74aa453cf81ea99fa90a49bf714e70878a182789f2968a13030efce2,395,4.5
Fortworthdental Dental,info@fortworthdental.com,Fort Worth TX,https://fortworthdental.com/&amp;rut=d9be67591745414bace9947448f6fa76d5b23b196a4ab662482f9a2584234759,383,4.6
Glendalegentledentistry Dental,vue@2.6.10,Glendale AZ,https://glendalegentledentistry.com/&amp;rut=ca796de2823a91f1db625996a398af07e6957863832d14ad1f217278c40a7d84,174,4.9
Shadearch Architects,info@shadearch.com,Mesa AZ,https://www.shadearch.com/&amp;rut=f7cbe86a6c6a94832bb281258ad05aa52f0955494349fb8bf732ada31dc2cd5d,321,4.2
Federico Consulting,sales@federico.net,Fresno TX,https://federico.net/&amp;rut=747cb22691ef83fce8110ac9692f8fa52bfc60943a55bbc93c508a9fbc243c79,72,4.3
Infoworks-tn Consulting,info@infoworks-tn.com,Nashville TN,https://www.infoworks-tn.com/&amp;rut=f23eadf67c172d766860e6568d985207b96a760d501f480252250726ac0baa0e,165,4.6
Citychirocenter Chiropractor,info@citychirocenter.com,Irving TX,https://citychirocenter.com/&amp;rut=41530eeabb236df18ba8bb66fd0d4417a9b6207119827a1905d81cc6f3f382ee,283,4.7
Migrationcounsel Immigration,dtakeno@migrationcounsel.com,Honolulu HI,https://www.migrationcounsel.com/&amp;rut=d79b84139038e163f4c25efee98c7266545de8bb44bf7363308adc471ec48292,79,4.2
Hawaiiimmigrationlaw Immigration,maile@hirotaimmigration.com,Honolulu HI,https://www.hawaiiimmigrationlaw.com/&amp;rut=84d4e27a8817ad4d069bc775da459a49c1e242ba42a9920c54ac5ab6a8a98f34,341,4.5
Wearetriad Architects,info@wearetriad.com,Columbus OH,https://wearetriad.com/&amp;rut=710c1e54b516ba16598fe959edbdff5d710773475cb7aa774971ecd40e910613,44,4.5
Irvingtx Architects,irving-permits@irvingtx.gov,Irving TX,https://irvingtx.gov/predevelopment&amp;rut=83cbf5c7b9fc478b574bb1778ee6d16164d3cdef2f028d07adcad346d1443c42,36,4.1
Grace-design Architects,info@ghc-arch.com,Irving TX,https://grace-design.com/&amp;rut=5654b3a151de2c0619c0a86a85f3fd3e20804efe59271b406fa406a0604840b5,369,4.7
Missionpediatrics Pediatrician,customerservice@missionpediatrics.com,Riverside CA,https://www.missionpediatrics.com/&amp;rut=cec8cf3de54291b17407ba30cd84c59c9be43911f6fe390dd54e1d9c8dd9c6ac,173,4.6
Moorephysicaltherapy Physical,gc@moorephysicaltherapy.com,Mesa AZ,https://moorephysicaltherapy.com/mesa/&amp;rut=46f235c6b9d6ce6c9c425b82f1e10a502063f00fd276bac90c98d56fac1fe754,300,4.9
Covacpa CPA,fhmnaar@pbinpcn.pbz,Virginia Beach VA,https://www.covacpa.com/&amp;rut=2602bbe7df90481ce514013d467933727f30e486cefc861bd034b2b1db2c4f73,132,4.5
Osipt Physical,intake@osipt.com,Minneapolis WI,https://osipt.com/&amp;rut=e33422f8fdb9e259b4dd56975c5b542113d24cb20dfa2b7d6367330110aa3c6d,297,4.8
Arcadiaorthoaz Orthodontist,contact@arcadiaorthoaz.com,Scottsdale AZ,https://arcadiaorthoaz.com/&amp;rut=3201c21dc7620c5b7dd32165a0999beff50ad717434b6a38f4921e6cfd20f89f,280,4.5
Elpasochiropractors Chiropractor,nancy.aguayo@swchiro.com,El Paso TX,https://elpasochiropractors.com/&amp;rut=8445bf0edaef93b27174d17b56497daebb9a520ac583e64fcae63dd9c94392c1,355,4.0
Meazellfirm Law,l.crabtree@meazellfirm.com,Plano TX,https://www.meazellfirm.com/&amp;rut=e3e7386a3096767492fe27088e40d5dd186f281a28e0656e92574db2c7c1246a,158,4.7
Chaikenlegalgroup Law,mchaiken@chaikenlegalgroup.com,Plano TX,http://www.chaikenlegalgroup.com/&amp;rut=52fcf4765f04263b51098beff852afce011d22fd8b83ac06c8c20dcfecef1df7,317,4.1
Nevadacpa CPA,nvcpa@nevadacpa.org,North Las Vegas NV,https://www.nevadacpa.org/find-a-cpa?action=search&amp;rut=c4047fba2ff392f8a772ae9191077941136e0503117747ffcb2828e7ffc5e8bd,392,4.3
Malikcpaandadvisor CPA,legal@countingworks.com,Irving TX,http://www.malikcpaandadvisor.com/&amp;rut=b0b70f8f3ea380070a66c5579baaaa091617c739cd21661ee2c682722516fcf9,246,5.0
Brookhurstanimal Veterinary,brookhurstanimal@gmail.com,Anaheim CA,https://brookhurstanimal.com/&amp;rut=abd6dd66089630dec705989795b97f716f596b0b4ec54f46ed307a43bacf308c,91,4.2
Aspyrewealth Financial,cwsong@aspyrewealth.com,Kansas City MO,https://aspyrewealth.com/&amp;rut=0f5eb127b2a83993da5e6fd21b3d9f4de901fc34327c95c355e5222350c99802,396,4.1
Bdflawfirm Law,dcdennis@bdflawfirm.com,Lubbock TX,https://www.bdflawfirm.com/&amp;rut=f0572960affd934096b8c188138cccd4559bf9a28fbd6daffee7e8a3db2b4931,83,4.2
Pediatrics Pediatrician,webmaster@pediatrics.wisc.edu,Madison WI,https://www.pediatrics.wisc.edu/&amp;rut=ab32fa104f6d5c4a17dd0c909fe179a0cefb4f2b8d853df323efe6680d1ca1cf,365,4.1
Divorceattorneyinscottsdale Divorce,masonry-layout@4.2.2,Scottsdale AZ,https://www.divorceattorneyinscottsdale.com/&amp;rut=01d77ede22b3da3f357316c3eb8fabaf177bc953995c619527f2a4e6b2072fa7,65,4.5
Dpttherapy Physical,lubbock@dpttherapy.com,Lubbock TX,https://dpttherapy.com/contact-us/lubbock/&amp;rut=3fb7e62ea90440ef6c449813149b5a0f59628a685832c166759d1ad38b94ce3b,163,4.5
Implantkingdds Dental,frontdesk@implantkingdds.com,Virginia Beach VA,https://implantkingdds.com/&amp;rut=48efe51b2c08c17922a275234b199d377e7d77d947b92dff916cc74a15366997,144,5.0
Dallaschiropractor Chiropractor,info@alignrightchiropractic.com,Dallas TX,https://www.dallaschiropractor.com/&amp;rut=9aecb2fd270f3ae5d3b1d185d5b3801674e15b57737d2f882b67b4a19c2793ea,281,4.8
Baybiklawgroup Immigration,ebaybik@baybiklawgroup.com,Scottsdale AZ,https://www.baybiklawgroup.com/&amp;rut=72a9b0451ae83063034c3c76db4c69cf9cabc0a47ad3cb31da2f14cdb7ac9edd,194,4.9
Willowbendbraces Orthodontist,ortho@willowbendbraces.com,Plano TX,https://www.willowbendbraces.com/&amp;rut=eac36afdee9ecd7be92775ef7b647762686216a7d132927d8a0e0ae5af97a257,380,4.7
Dentalboise Dental,lambfamilydental@gmail.com,Boise ID,https://dentalboise.com/&amp;rut=546c54eea2c8b61832c1daa3a796ab399f2341f3db3af4fd554fe22313066aa0,328,4.5
Bdsak Architects,contact@bdsak.com,Anchorage HI,https://www.bdsak.com/&amp;rut=5e920efb2e5eb41e92e501991619696371d088f0cfb3750616798893802c4f80,235,4.7
Divorcelawyerma Divorce,5083330611@tmomail.net,Boston MA,https://www.divorcelawyerma.com/?gad_source=1&amp;rut=6a2aaa51369507f7ec47c551c3f8c108c27dd9c5fafde90a7869364a1c3c5ba7,264,4.4
Walker-nunez Immigration,rwimmig@sbcglobal.net,Detroit MI,https://www.walker-nunez.com/&amp;rut=9d7aa75fc3ea15d8362d22602072c29827dafffbac8fa2f3ef8fbef918241420,328,4.6
Yjblaw Law,wgjgrp@yjblaw.com,St. Paul MN,https://www.yjblaw.com/contact-us/&amp;rut=8771d04777fce21fbeb349585b2179a7ce75b02960ed930eb4a7a45d4f4b913f,212,4.0
Bellareyes Immigration,attybella1@gmail.com,Anaheim CA,https://www.bellareyes.com/&amp;rut=9153ee15e32ab54fe82aeb5ec3f45672958a2242e9e5c13041530f31fc0fba8c,62,4.2
Vetsjacksonville Veterinary,careteam@vetsjacksonville.com,Jacksonville FL,https://vetsjacksonville.com/&amp;rut=6bda77aa43aa9854d592de991a469a8360039b902b3964f10d0a9b85a271d58e,266,4.1
Immigrationadvocates Immigration,support@immigrationadvocates.org,Lincoln NE,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.715646-Center_for_Legal_Immigration_Assistance_CLIA&amp;rut=5bab8761c90e0850fcfbd6243cc951724f4a607019a9a1e8bb292ee0bb85617f,334,4.2
Mgt Consulting,info@mgtus.com,Fresno TX,https://www.mgt.us/&amp;rut=c2bc006a9e6bfee49fc616a21e56fc7fd60608ed5913f1b3d1cc6c43bc4596ba,70,4.6
Renolawfirm Divorce,work@renolawfirm.com,Reno NV,https://www.renolawfirm.com/practice-areas/divorce-lawyers-family-attorneys-reno-nv/&amp;rut=5da7b39fad3f47c48954cf50d7dd55675efc78d93ffa9a0a411b040f87b3fd74,90,4.2
Dentistindallastx Dental,wght@200..700,Garland TX,https://www.dentistindallastx.com/&amp;rut=cf139fb2cd63703da9df55f0624e4fac3b57312d1107dd1eca16baea748432f2,297,4.7
Houzz Architects,forwarding@pro.houzz.com,Houston TX,https://www.houzz.com/professionals/architect/houston-tx-us-probr0-bo~t_11784~r_4699066&amp;rut=d6e02aa927669ebb372085e27097a1174901a58d9cf01fcf6c83b33fad0537e9,225,4.5
Dermcentereastbay Dermatologist,info@dermcentereastbay.com,Oakland CA,https://dermcentereastbay.com/&amp;rut=89337a301ceff6c9e98d02088d3efc6c0a7cade66f34fecbbcd1c6f074233bf0,357,4.7
Cityoftulsa Tax,tulsa311@cityoftulsa.org,Tulsa OK,https://www.cityoftulsa.org/government/departments/resilience-and-equity/financial-empowerment/vita-free-tax-prep/&amp;rut=ece98b10894015ddfbfe2d5acb7ddfcdc609040079986468f2b2480a01003351,131,4.9
Desmoines-dentalassociates Dental,ol-mapbox-style@13.0.1,Des Moines IA,https://desmoines-dentalassociates.com/&amp;rut=cbeb154c8abd64e1641b6a901f1a8b1f30351b7542251182741c98c3f979dae5,240,4.9
Louisiana CPA,info@louisiana.cpa,New Orleans LA,https://www.louisiana.cpa/?page=prgeninformation&amp;rut=485eb4a03bd0c12fc896e5476e009c111f29300e872822cd76e5a77218e20b50,53,4.5
Iveymcclellan Divorce,customerservice@iveymcclellan.com,Greensboro NC,https://www.iveymcclellan.com/types-of-law/divorce-lawyer/&amp;rut=d89a676bdf678c99a18f344130437936e40c8e064b0af870d7a973f3711ec0c1,296,4.4
Mayflowermedicalgroup Pediatrician,intersection-observer@0.7.0,Anaheim CA,https://www.mayflowermedicalgroup.com/locations/anaheim/pediatric-care-in-anaheim&amp;rut=56887223c075a2cc8587ce7717633f6bd979f0020e0e5636ce3ba9b51cb9f5d7,84,4.1
Allbiz Consulting,pi@griconsultinggroup.com,Chula Vista CA,https://www.allbiz.com/business/gri-consulting-group_31-619-215-5988&amp;rut=fad2c06478ed2457b4363571accafef65b2259cee958f779291fd0ec45f7c712,320,4.5
Yourptm Physical,web@yourptm.com,Milwaukee WI,https://yourptm.com/&amp;rut=81b0a193c95ab94f59ebd6498faabb2857a0e6c43c173d7db34829369253ee54,86,4.3
Madisonfamilydental Dental,info@weomedia.com,Madison WI,https://madisonfamilydental.com/p/dentist-Madison-WI-Madison-p51282.asp&amp;rut=70c50fa9d6c88b0d1455fdaa3390e7a9a388a84096a91ca97ec68d4480d2a1dd,140,4.0
Ttilaw Law,bscheuer@ttilaw.com,Irvine CA,https://www.ttilaw.com/&amp;rut=2ae8d472a0131e58b66b503ddb351c8344754d17468507b6604c3c20e2b2a104,163,4.7
Dahlingroup Architects,shanghai@dahlingroup.com.cn,Irvine CA,https://www.dahlingroup.com/contact/Irvine&amp;rut=b065365b941f946ed2cd42ee5dd7f5e491b462affcd1ce9c29fddfe9f3ab169d,194,4.0
Feintuchlawfirm Law,info@fpflawyers.com,Jersey City NJ,https://www.feintuchlawfirm.com/contact-us/&amp;rut=96ba05cace908c0fe0a26afe44c2369dec63885f59a0eba268b5aec398a82e09,347,4.1
Alikhanlaw Immigration,info@alikhanlaw.com,Las Vegas NV,https://alikhanlaw.com/&amp;rut=09b8c1699ad081065829716614332dfe0ccdb7fd979073f3b89b1bf69b610e63,343,4.2
Epsmiles Orthodontist,bootstrap-icons@1.11.3,El Paso TX,https://www.epsmiles.com/&amp;rut=683573f50429a0405a1b559abdc43cb93d8d0ea61a01b2a6ac8eaf0342cc5a22,260,4.6
Arc Architects,20jane.doe@ohio.gov,Columbus OH,https://arc.ohio.gov/home&amp;rut=41c9fd624972c6cd0ad9e1f6778e1e7b6363a91bd99debaacfd396f7c5f11ad4,180,4.9
Petwellatl Veterinary,customerserviceteamleader@petwellatl.com,Atlanta GA,https://petwellatl.com/&amp;rut=0c9a7ab240847bc49c2dc816b6e6059f906fb87433fdca60bc923f5ea11d1041,134,4.3
Houghlawoffice Law,office@houghlawoffices.com,Mesa AZ,https://www.houghlawoffice.com/&amp;rut=1cd5056599278694a0138b75e0ac5af1695da3da35caeb57608a325034cf7d3e,301,4.8
Dpcpallc CPA,admin@dpcpallc.com,Jersey City NJ,https://dpcpallc.com/&amp;rut=854f29abd24cadcb1234063550624aaaa5dd0258010d2e5c70396fafe7ef3a1b,60,4.7
Truenorthimmigrationlaw Immigration,info@truenorthimmigrationlaw.com,Phoenix AZ,https://truenorthimmigrationlaw.com/&amp;rut=6b450e01e14ed86ff2281118755165d04e045ea89bff558224df46468b04e14d,386,4.7
Summitdentalcareseattle Dental,info@sdcseattle.com,Seattle WA,https://summitdentalcareseattle.com/dental-office-seattle-wa/&amp;rut=90257658932790cd55fe20a20cf521470e20171a160b6f12b550cee482aafe08,227,4.8
Lapl Tax,lavitacf@gmail.com,Los Angeles CA,https://www.lapl.org/tax-information&amp;rut=5ef04fbb1f82448035b100521841319930e0b694d09373fff61ea592ede66ff0,306,4.5
Fourcornersfa Financial,preston.hoff@floridafa.com,North Las Vegas NV,https://www.fourcornersfa.com/las-vegas-nevada.htm&amp;rut=8468d175ad248c65c9527b8d430fb753aa5cd6ff01223ca679acabe77e4bfe0a,278,4.4
Lasvegasdentalgroup Dental,info@lasvegasdentalgroup.com,Las Vegas NV,https://www.lasvegasdentalgroup.com/&amp;rut=0a143d39bbb424d5f29818fa742e495b3b6ffb51c54600104a01a0a368a09095,330,4.8
Hauptmanarchitecture Architects,info@hauptmanarchitecture.com,Omaha NE,https://www.hauptmanarchitecture.com/&amp;rut=18f081fc6b009c88ce425400a81533109acb196f5fcccfdbae1d3f087106ffa0,258,4.3
Supremetaxandfinance Tax,legal@countingworks.com,Irving TX,https://www.supremetaxandfinance.com/&amp;rut=20a7d940c36a46c6edea3f9a9f2c00429b82272e79910af17d4e9e7ad473afe8,308,4.2
Laskylawfirm Divorce,office@laskylawfirm.com,Jacksonville FL,https://www.laskylawfirm.com/&amp;rut=b6116fb7f122e14f7a7b4838741ebc25f869e0fc355464c435ff77637ec80efe,106,4.7
Orthopedic Chiropractor,bootstrap-icons@1.10.5,Fresno TX,https://orthopedic.io/chiropractic-clinic/texan-chiropractic-center-pllc-fresno-tx/&amp;rut=7e92cdfdf642d4b6c06ce84222e037cf35ab6a663efa40093fff993c3d3bf8b1,83,4.8
Scottsdaleptperformance Physical,info@scottsdaleptperformance.com,Scottsdale AZ,https://www.scottsdaleptperformance.com/&amp;rut=b7b1db8060744720d8b15f06633251202b165f023ffae85f4e8c2fb6ecb6a8e7,328,4.6
Vitals Medical,info@vitals.com,Greensboro NC,https://www.vitals.com/practice/general-medical-clinic-583B12C9-4703-E211-A42B-001F29E3EB44&amp;rut=6a6786e77b92430c485425d4c522c0d724fcae4fd17caae0498b4f0de4cf5968,395,4.8
Soudersfinancial Financial,core-js-bundle@3.2.1,Cincinnati OH,https://www.soudersfinancial.com/?redirectUrl=/new/soudersfinancial/&amp;rut=560c9ba5db1f5f12e46bbacd30d4b246b893387b32a3e3059227a87d045cca65,129,4.1
Mydentalpros Dental,info@dentalprostucson.com,Tucson NM,https://mydentalpros.net/&amp;rut=01b8241ad1994857a92a450d2f35c53b49fb4d22882e762bdcbaa6ac0dd5503e,244,4.9
Taxprepbytia Tax,support@webador.com,Atlanta GA,https://www.taxprepbytia.com/&amp;rut=e64d714dde1e3a814a40f7d2d19ffda1873e2f12b96c2878a4b76f6051d65989,365,5.0
Irsprob Tax,rwm@irsprob.com,Fresno TX,https://irsprob.com/Fresno/tax-preparation/&amp;rut=a80fb95657f643d0bb0bb1dc31ee201662d7717230e626f7e95e207c053966d4,85,4.9
Boiseattorney Divorce,ray@boiseattorney.com,Boise ID,https://www.boiseattorney.com/practice-areas/divorce/&amp;rut=b3e5fd38509bc86e48364d2198e38ce8d9a53e6b9d9c66d35ce9fc9bdcf372ef,285,4.1
Childrenspeds Pediatrician,ccpconfidential@chp.edu,Pittsburgh PA,https://www.childrenspeds.com/find/locations/greater-pittsburgh&amp;rut=85a2523fba4ca03d5eced1335a1d2fa996396033d9b0d2ca95b7aeb21d47338b,331,4.6
Pediatrics Pediatrician,drupal-bootstrap-styles@0.0.2,Pittsburgh PA,https://www.pediatrics.pitt.edu/&amp;rut=84e733e5aefbbd6e876856f84c64775d514a14706624d33d67f938640262e6b1,125,4.9
Magellanadvisory Consulting,dcarlsson@google.com,Buffalo NY,https://magellanadvisory.com/&amp;rut=a0c8f93e12cff35f172dc5bcc2d085d4dd7c440775cfb3d1d1d831c3cef9ee2f,195,4.0
Allfinancialadvisors Financial,info@retirementplanning.net,Lexington KY,https://www.allfinancialadvisors.com/financial-advisors/kentucky/lexington&amp;rut=7d5883b02508a5eb9ebf7ed95f31b81155f53a1b0e2e91e035d9f913c3f5a87a,392,4.5
Gibbshoustonpauw Immigration,dcarlsson@google.com,Seattle WA,https://www.gibbshoustonpauw.com/&amp;rut=97d1e1fd4eb373585225bcca98019c497500303209b9897885a87fb7eaeb64c1,299,4.3
S3consultingsolutions Consulting,adiasmith@s3consultingsolutions.com,Bakersfield CA,https://s3consultingsolutions.com/&amp;rut=5b0bbcdcada904703d946a7d01ffd5969bb3fe53ea4595f69687af1cb2ba34e2,68,5.0
Newfrontierconsult Consulting,info@newfrontierconsult.com,Bakersfield CA,https://newfrontierconsult.com/about-us/&amp;rut=1d1e64860f8a44ff372007685971a46367a10c451ca411f047b9e051080fd511,144,4.8
Hillhealth Medical,info@hillhealth.com,Oakland CA,https://www.hillhealth.com/&amp;rut=5ff922355ed066892b404d57478d064ad4404077777c7d2b7b54ea1ec781abba,241,4.2
Dermassocin Dermatologist,dermassocin@yahoo.com,Indianapolis IN,https://www.dermassocin.com/&amp;rut=76b6492c408787c65584f49654efe473dbeb8adee04b30cc0853d84ec1d1db5b,112,4.3
Roberts Tax,infonow@roberts.cpa,Louisville KY,https://www.roberts.cpa/income-tax-preparation-services&amp;rut=783314847b903f84bd3bdf1672ecf0bd0cff04744878982d0b972dd3b6f7c64e,185,4.5
Iamyourtaxpro Tax,info@iamyourtaxpro.com,Louisville KY,https://iamyourtaxpro.com/&amp;rut=b59b26df72a3b90abc425a30e2853914d1d9b59276e8462592375e580c3b2f55,103,4.0
Kingcompanies Consulting,bootstrap@5.3.3,Lubbock TX,https://kingcompanies.net/about/&amp;rut=e35e0b9c99427c66a5c8e0b717a1fbe8ad511ee47568accd2a665bbcb3cec419,177,4.5
Triadorthodontics Orthodontist,contact-to-danville@triadorthodontics.com,Greensboro NC,https://triadorthodontics.com/&amp;rut=fd159fc6365fc1909f88ed2c397ac495354e02eb01e32f071a636ca667c5dbf0,234,4.2
Doctors Pediatrician,pmc+sclhealth@svc.kyruus.com,Henderson NV,https://doctors.intermountainhealth.org/specialty/Pediatrics/near/Henderson%2C%20NV?page=1&amp;rut=1f41ef49754842eef6a9551ec42733ea431be2ae065db783dd9d6ba5e2d5a95e,90,5.0
Vallsandmarroquin Law,rfarias@vallslaw.com,Laredo TX,https://www.vallsandmarroquin.com/&amp;rut=80eae870df99fb15d3faf21297ba1c466a1e701bcda3757ac1d982e0363be528,176,4.4
Tailoredtouchlv Chiropractor,drsmith@tailoredtouchlv.com,Henderson NV,https://tailoredtouchlv.com/&amp;rut=af695de69cc17c22163e644b4ff4d7ead5536b09848c63d719f12c00026dd5be,336,4.6
Orthomadison Orthodontist,braces@orthomadison.com,Madison WI,https://orthomadison.com/&amp;rut=d38a4064ba420d8d8499b615cce98e909895a43212253c8c512fe622b2ad21a0,305,4.8
Anderson-gilbert Law,mfavazza@anderson-gilbert.com,St. Louis MO,https://www.anderson-gilbert.com/&amp;rut=422083c29bdf299f6b28f06a1463b7b7453bd057abe4ca351124876d674c0323,25,5.0
Evans-dixon Law,contact@evans-dixon.com,St. Louis MO,https://www.evans-dixon.com/&amp;rut=2ec548c95b138f8038fa5449a374992f98f1d8e41d8e163206ae39d097948501,394,4.2
